average_confidence,document_count,high_salience_count,mapping_count,mapping_ids,metric,value
0.808,3,22,43,lincoln-cmt-003;lincoln-cmt-004;lincoln-cmt-005;lincoln-cmt-006;lincoln-cmt-007;lincoln-cmt-008;lincoln-cmt-009;lincoln-cmt-010;lincoln-cmt-011;lincoln-cmt-014;lincoln-cmt-015;lincoln-cmt-017;lincoln-cmt-022;lincoln-cmt-025;lincoln-cmt-029;lincoln-cmt-030;lincoln-cmt-031;lincoln-cmt-032;lincoln-cmt-033;lincoln-cmt-034;lincoln-cmt-035;lincoln-cmt-036;lincoln-cmt-037;lincoln-cmt-038;lincoln-cmt-039;lincoln-cmt-040;lincoln-cmt-041;lincoln-cmt-043;lincoln-cmt-045;lincoln-cmt-046;lincoln-cmt-047;lincoln-cmt-048;lincoln-cmt-049;lincoln-cmt-050;lincoln-cmt-051;lincoln-cmt-052;lincoln-cmt-053;lincoln-cmt-054;lincoln-cmt-056;lincoln-cmt-058;lincoln-cmt-060;lincoln-cmt-062;lincoln-cmt-064,cluster_id,lincoln-01-body-organism
0.826,1,3,6,lincoln-cmt-001;lincoln-cmt-002;lincoln-cmt-026;lincoln-cmt-027;lincoln-cmt-042;lincoln-cmt-044,cluster_id,lincoln-05-fathers-inheritance
0.803,1,3,5,lincoln-cmt-012;lincoln-cmt-013;lincoln-cmt-016;lincoln-cmt-018;lincoln-cmt-019,cluster_id,lincoln-08-sacrificial-death-gift
0.846,2,3,4,lincoln-cmt-020;lincoln-cmt-021;lincoln-cmt-057;lincoln-cmt-059,cluster_id,lincoln-02-covenant-oath
0.744,1,0,3,lincoln-cmt-023;lincoln-cmt-024;lincoln-cmt-028,cluster_id,lincoln-03-experiment-proposition
0.715,2,1,2,lincoln-cmt-055;lincoln-cmt-061,cluster_id,lincoln-06-providence-theodicy
0.718,1,0,1,lincoln-cmt-063,cluster_id,lincoln-07-absence-black-agency
0.864,3,32,32,lincoln-cmt-001;lincoln-cmt-002;lincoln-cmt-003;lincoln-cmt-004;lincoln-cmt-007;lincoln-cmt-011;lincoln-cmt-012;lincoln-cmt-014;lincoln-cmt-016;lincoln-cmt-018;lincoln-cmt-021;lincoln-cmt-022;lincoln-cmt-029;lincoln-cmt-030;lincoln-cmt-031;lincoln-cmt-033;lincoln-cmt-040;lincoln-cmt-043;lincoln-cmt-044;lincoln-cmt-045;lincoln-cmt-046;lincoln-cmt-050;lincoln-cmt-051;lincoln-cmt-053;lincoln-cmt-054;lincoln-cmt-055;lincoln-cmt-057;lincoln-cmt-058;lincoln-cmt-059;lincoln-cmt-060;lincoln-cmt-062;lincoln-cmt-064,rhetorical_salience,high
0.745,3,0,32,lincoln-cmt-005;lincoln-cmt-006;lincoln-cmt-008;lincoln-cmt-009;lincoln-cmt-010;lincoln-cmt-013;lincoln-cmt-015;lincoln-cmt-017;lincoln-cmt-019;lincoln-cmt-020;lincoln-cmt-023;lincoln-cmt-024;lincoln-cmt-025;lincoln-cmt-026;lincoln-cmt-027;lincoln-cmt-028;lincoln-cmt-032;lincoln-cmt-034;lincoln-cmt-035;lincoln-cmt-036;lincoln-cmt-037;lincoln-cmt-038;lincoln-cmt-039;lincoln-cmt-041;lincoln-cmt-042;lincoln-cmt-047;lincoln-cmt-048;lincoln-cmt-049;lincoln-cmt-052;lincoln-cmt-056;lincoln-cmt-061;lincoln-cmt-063,rhetorical_salience,medium
0.805,1,22,50,lincoln-cmt-001;lincoln-cmt-002;lincoln-cmt-003;lincoln-cmt-004;lincoln-cmt-005;lincoln-cmt-006;lincoln-cmt-007;lincoln-cmt-008;lincoln-cmt-009;lincoln-cmt-010;lincoln-cmt-011;lincoln-cmt-012;lincoln-cmt-013;lincoln-cmt-014;lincoln-cmt-015;lincoln-cmt-016;lincoln-cmt-017;lincoln-cmt-018;lincoln-cmt-019;lincoln-cmt-020;lincoln-cmt-021;lincoln-cmt-022;lincoln-cmt-023;lincoln-cmt-024;lincoln-cmt-025;lincoln-cmt-026;lincoln-cmt-027;lincoln-cmt-028;lincoln-cmt-029;lincoln-cmt-030;lincoln-cmt-031;lincoln-cmt-032;lincoln-cmt-033;lincoln-cmt-034;lincoln-cmt-035;lincoln-cmt-036;lincoln-cmt-037;lincoln-cmt-038;lincoln-cmt-039;lincoln-cmt-040;lincoln-cmt-041;lincoln-cmt-042;lincoln-cmt-043;lincoln-cmt-044;lincoln-cmt-045;lincoln-cmt-046;lincoln-cmt-047;lincoln-cmt-048;lincoln-cmt-049;lincoln-cmt-050,register,public-address
0.795,1,6,9,lincoln-cmt-056;lincoln-cmt-057;lincoln-cmt-058;lincoln-cmt-059;lincoln-cmt-060;lincoln-cmt-061;lincoln-cmt-062;lincoln-cmt-063;lincoln-cmt-064,register,inaugural-address
0.815,1,4,5,lincoln-cmt-051;lincoln-cmt-052;lincoln-cmt-053;lincoln-cmt-054;lincoln-cmt-055,register,ceremonial-address
0.805,1,22,50,lincoln-cmt-001;lincoln-cmt-002;lincoln-cmt-003;lincoln-cmt-004;lincoln-cmt-005;lincoln-cmt-006;lincoln-cmt-007;lincoln-cmt-008;lincoln-cmt-009;lincoln-cmt-010;lincoln-cmt-011;lincoln-cmt-012;lincoln-cmt-013;lincoln-cmt-014;lincoln-cmt-015;lincoln-cmt-016;lincoln-cmt-017;lincoln-cmt-018;lincoln-cmt-019;lincoln-cmt-020;lincoln-cmt-021;lincoln-cmt-022;lincoln-cmt-023;lincoln-cmt-024;lincoln-cmt-025;lincoln-cmt-026;lincoln-cmt-027;lincoln-cmt-028;lincoln-cmt-029;lincoln-cmt-030;lincoln-cmt-031;lincoln-cmt-032;lincoln-cmt-033;lincoln-cmt-034;lincoln-cmt-035;lincoln-cmt-036;lincoln-cmt-037;lincoln-cmt-038;lincoln-cmt-039;lincoln-cmt-040;lincoln-cmt-041;lincoln-cmt-042;lincoln-cmt-043;lincoln-cmt-044;lincoln-cmt-045;lincoln-cmt-046;lincoln-cmt-047;lincoln-cmt-048;lincoln-cmt-049;lincoln-cmt-050,period,early-republican-rhetoric
0.795,1,6,9,lincoln-cmt-056;lincoln-cmt-057;lincoln-cmt-058;lincoln-cmt-059;lincoln-cmt-060;lincoln-cmt-061;lincoln-cmt-062;lincoln-cmt-063;lincoln-cmt-064,period,providence-and-reconciliation
0.815,1,4,5,lincoln-cmt-051;lincoln-cmt-052;lincoln-cmt-053;lincoln-cmt-054;lincoln-cmt-055,period,emancipation-and-sacrifice
